id,timestamp,x,y,z,label
E,289470851249676,2.445677,9.415796,0.11671733,0
E,289470890029676,2.4666264,9.427169,0.109534726,0
E,289470931097854,2.460641,9.4457245,0.06943185,0
E,289470970626240,2.4546554,9.412804,0.077213004,0
E,289471010888895,2.4247277,9.442732,0.08319851,0
E,289471050767593,2.472612,9.438541,0.12090719,0
E,289471090710406,2.5013423,9.414599,0.0676362,0
E,289471130575979,2.4678235,9.426571,0.031124622,0
E,289471170141967,2.397793,9.308656,-0.14065935,0
E,289471208912230,2.1571758,9.49301,-0.3693056,0
E,289471248903322,2.2984335,9.775525,-0.018555064,0
E,289471290232749,2.617461,9.618107,0.16101007,0
E,289471330255250,2.7377696,9.218275,0.3890578,0
E,289471368613166,3.4063504,9.242816,0.6859388,0
E,289471409908478,3.3800142,9.270947,0.38067806,0
E,289471449849208,3.0789435,9.36492,0.2908955,0
E,289471489710406,2.622848,9.339781,0.31783026,0
E,289471529652489,2.0709844,9.467272,0.08499416,0
E,289471569523999,2.180519,9.669582,-0.08319851,0
E,289471609420458,2.178125,9.561843,-0.1352724,0
E,289471649360978,2.1906946,9.4972,-0.18016368,0
E,289471688478948,2.1871033,9.446322,-0.074818805,0
E,289471727717750,2.3523033,9.355942,-0.09636662,0
E,289471767388063,2.4253263,9.350554,-0.2124854,0
E,289471808289573,2.4067712,9.31524,-0.12090719,0
E,289471847430717,2.4067712,9.353547,-0.18734628,0
E,289471887419313,2.332551,9.344569,-0.3842694,0
E,289471928762852,2.166154,9.473856,-0.3537433,0
E,289471968225563,2.2002714,9.530719,-0.39205053,0
E,289472007327332,2.1649568,9.467871,-0.3441665,0
E,289472046987487,2.2457612,9.534309,-0.25558102,0
E,289472087901760,2.4079683,9.396045,-0.22505496,0
E,289472128344624,2.3415294,9.346964,-0.31663316,0
E,289472168119207,1.9913772,9.325416,-0.36511576,0
E,289472206776031,1.9955671,9.60853,-0.28431144,0
E,289472247924728,2.0512323,9.572617,-0.32321724,0
E,289472287788374,2.1122844,9.427169,-0.2753332,0
E,289472327730717,2.2182279,9.440337,-0.2801216,0
E,289472367595406,2.1643584,9.450513,-0.2717419,0
E,289472407329052,2.1841104,9.452907,-0.16639702,0
E,289472447403477,2.368464,9.396045,-0.12449849,0
E,289472487346863,2.421735,9.439739,-0.059855044,0
E,289472527075406,2.4899697,9.428367,-0.06284779,0
E,289472566782176,2.4037786,9.450513,-0.050876785,0
E,289472606726343,2.3570917,9.41041,-0.014963761,0
E,289472647202489,2.273893,9.363723,0.092775315,0
E,289472685696447,2.3918076,9.423578,0.13946225,0
E,289472726767852,2.5611973,9.529521,0.19812019,0
E,289472766632540,2.7204118,9.533113,0.15861586,0
E,289472805152280,2.7222073,9.500193,0.20231004,0
E,289472847285405,2.7018566,9.414599,0.25198972,0
E,289472885213113,2.5839422,9.291897,0.32142156,0
E,289472926298426,2.5785553,9.339781,0.3321955,0
E,289472966164103,2.545635,9.473258,0.3465607,0
E,289473004908216,2.6001031,9.45171,0.28909984,0
E,289473044486759,2.553416,9.431957,0.20350714,0
E,289473085986030,2.4995465,9.466075,0.21906945,0
E,289473125773582,2.5312698,9.4696665,0.27114335,0
E,289473165699988,2.5647886,9.428367,0.18974048,0
E,289473204440925,2.6060886,9.401431,0.23942018,0
E,289473244248373,2.6605566,9.334992,0.28670564,0
E,289473285501602,2.7216089,9.380483,0.24241292,0
E,289473325331186,2.734777,9.482236,0.29448682,0
E,289473365255352,2.7012582,9.358934,0.35553896,0
E,289473405090873,2.6833014,9.41879,0.24779987,0
E,289473445000561,2.542642,9.386468,0.30825347,0
E,289473484943165,2.4366987,9.396643,0.16879122,0
E,289473524804259,2.308609,9.416395,0.11552023,0
E,289473564715300,2.3289597,9.422979,0.17178397,0
E,289473604264884,2.3690627,9.475652,0.0712275,0
E,289473644557644,2.3959973,9.509171,0.013766659,0
E,289473684407644,2.3301568,9.481637,0.022744916,0
E,289473724328165,2.3989902,9.44752,0.038905777,0
E,289473764267384,2.4001873,9.476849,0.02813187,0
E,289473804134050,2.4343045,9.444528,0.093972415,0
E,289473844037696,2.348712,9.442732,0.15023616,0
E,289473882869936,2.3750482,9.405023,0.15981296,0
E,289473923845925,2.4552538,9.48044,0.13946225,0
E,289473963751187,2.4396915,9.409213,0.108936176,0
E,289474003691759,2.3894134,9.380483,0.077213004,0
E,289474042095768,2.3971944,9.444528,0.035314474,0
E,289474083628477,2.428319,9.391256,-0.023343466,0
E,289474122129727,2.4797945,9.359533,-0.013766659,0
E,289474163309362,2.5474305,9.436746,0.01436521,0
E,289474204214935,2.6264393,9.391256,0.011971008,0
E,289474243833999,2.7060466,9.2865095,0.022146367,0
E,289474282979311,2.7419596,9.296685,-0.047884032,0
E,289474322925872,2.7018566,9.35235,-0.062249243,0
E,289474362791550,2.6743233,9.407417,-0.07182605,0
E,289474402691499,2.6791117,9.3822775,-0.0700304,0
E,289474442631132,2.6551697,9.411607,-0.095768064,0
E,289474482498427,2.7503393,9.392453,-0.15622166,0
E,289474521276864,2.669535,9.327211,-0.23104046,0
E,289474562438164,2.6150668,9.355942,-0.17597382,0
E,289474602354155,2.6611552,9.419987,-0.14784196,0
E,289474642046342,2.6635494,9.41879,-0.1436521,0
E,289474682022332,2.7371712,9.414599,-0.12749124,0
E,289474721961914,2.7850552,9.363723,-0.0796072,0
E,289474761830925,2.7862523,9.291897,-0.06943185,0
E,289474803743895,2.712032,9.325416,-0.089782566,0
E,289474841636916,2.7012582,9.322423,-0.09636662,0
E,289474880310404,2.7401638,9.364322,-0.13467385,0
E,289474921483529,2.7132292,9.417592,-0.092176765,0
E,289474961346601,2.6599581,9.350554,-0.10654198,0
E,289475001290456,2.6258407,9.31105,-0.19632454,0
E,289475041171602,2.6749218,9.362526,-0.15682021,0
E,289475081058425,2.7042508,9.361927,-0.16101007,0
E,289475119830820,2.6503813,9.391256,-0.15682021,0
E,289475160905872,2.630629,9.362526,-0.18375498,0
E,289475200771393,2.6443958,9.395446,-0.17357962,0
E,289475240678685,2.6479871,9.400234,-0.17118542,0
E,289475279097643,2.60549,9.412804,-0.2088941,0
E,289475320523997,2.6144683,9.352949,-0.20051439,0
E,289475360448894,2.6018987,9.333197,-0.20350714,0
E,289475399954779,2.6282349,9.376891,-0.18076223,0
E,289475440234674,2.6090813,9.385869,-0.17118542,0
E,289475480092643,2.6120741,9.348759,-0.18435353,0
E,289475520005976,2.5893292,9.380483,-0.18315643,0
E,289475559943529,2.6210523,9.369708,-0.095768064,0
E,289475599650195,2.6030958,9.390059,-0.13587095,0
E,289475639912279,2.581548,9.408614,-0.15861586,0
E,289475679621237,2.5917234,9.412206,-0.13946225,0
E,289475719516497,2.5480292,9.403826,-0.11552023,0
E,289475759465299,2.5528176,9.387665,-0.14065935,0
E,289475799325509,2.557606,9.381081,-0.13826515,0
E,289475839394206,2.498948,9.382876,-0.1448492,0
E,289475879175976,2.5288756,9.466075,-0.19572599,0
E,289475919041550,2.4905684,9.448717,-0.18614918,0
E,289475959107226,2.558803,9.448717,-0.15741876,0
E,289475997513060,2.6030958,9.374496,-0.13587095,0
E,289476038761394,2.5953147,9.362526,-0.10594343,0
E,289476078653893,2.6288335,9.345168,-0.11611878,0
E,289476117078216,2.6132712,9.381081,-0.25198972,0
E,289476158505299,2.6078842,9.394848,-0.17417817,0
E,289476198370612,2.6384103,9.391256,-0.2100912,0
E,289476238269674,2.666542,9.3978405,-0.13946225,0
E,289476278212381,2.6246436,9.407417,-0.076614454,0
E,289476317263686,2.6898856,9.423578,-0.13826515,0
E,289476358020560,2.7024553,9.361927,-0.107739076,0
E,289476397885403,2.7269957,9.365519,-0.08619126,0
E,289476437829310,2.778471,9.36911,-0.05327099,0
E,289476477690508,2.754529,9.337387,-0.04369418,0
E,289476516318216,2.7527335,9.337985,-0.046686932,0
E,289476557432435,2.719813,9.312846,-0.05566519,0
E,289476598517174,2.6611552,9.325416,-0.09816227,0
E,289476637311133,2.6557682,9.327211,-0.08200141,0
E,289476677250247,2.724003,9.381081,-0.0712275,0
E,289476717174622,2.7030537,9.387066,-0.05925649,0
E,289476757022122,2.6833014,9.384073,-0.0664391,0
E,289476796958216,2.6557682,9.321824,-0.061650693,0
E,289476836825768,2.6479871,9.32362,-0.095169514,0
E,289476876766965,2.633622,9.35235,-0.077811554,0
E,289476917981186,2.618658,9.446921,-0.11971009,0
E,289476956927798,2.5929205,9.433753,-0.0700304,0
E,289476996478685,2.5881321,9.426571,-0.12449849,0
E,289477036370403,2.540248,9.3822775,-0.08439561,0
E,289477076262541,2.552219,9.375095,-0.16220717,0
E,289477116445924,2.6204538,9.378687,-0.091578215,0
E,289477156067905,2.5510218,9.408614,-0.108337626,0
E,289477196009727,2.582745,9.446921,-0.108936176,0
E,289477236012332,2.5187001,9.396643,-0.108936176,0
E,289477275810974,2.5725696,9.418191,-0.03232172,0
E,289477315675249,2.6072857,9.405023,-0.047285482,0
E,289477355700924,2.5408466,9.370307,-0.026934769,0
E,289477394088371,2.5821466,9.324219,-0.054468088,0
